monkey,tube,tissue_name,tissue_type,count,weight,vol,CFU_per_gram,CFU_per_granuloma,sample_type
17814,13,RLL gr 11,Gran,6,,< 5,,141.56787,scrapate
17814,14,RLL gr D,Gran,8,,< 5,,0,scrapate
17814,15,RLL gr E,Gran,16,,< 5,,489.30952,scrapate
17814,16,RLL gr F,Gran,4,,< 5,,0,scrapate
17814,17,RLL gr B,Gran,1,,< 5,,4.81012,scrapate
17814,18,RLL gr C,Gran,2,,< 5,,94.37858,scrapate
17814,19,RLL area of 19 w/ gr,Gran,1,,< 5,,0,scrapate
17814,20,RLL gr 31,Gran,4,,< 5,,94.37858,scrapate
17814,21,RLL gr 32,Gran,9,,< 5,,122.32738,scrapate
17814,22,RLL gr 33,Gran,2,,< 5,,122.32738,scrapate
17814,23,RLL gr 34,Gran,1,,< 5,,75.13809,scrapate
17814,24,RLL gr 35,Gran,9,,< 5,,550.47321,scrapate
17814,25,RLL gr 36,Gran,85,,< 5,,7574.56335,scrapate
17814,26,RLL gr 37,Gran,19,,< 5,,652.8837,scrapate
17814,27,RLL gr 40,Gran,19,,< 5,,979.32555,scrapate
17814,28,LLL gr 1,Gran,6,,< 5,,283.13574,scrapate
17814,29,LLL gr 3 Secondary Gran,Gran,4,,< 5,,19.24048,scrapate
17814,30,LLL gr A,Gran,5,,< 5,,48.1012,scrapate
17814,31,Acc gr B,Gran,2,,< 5,,19.24048,scrapate
17814,32,Acc gr C,Gran,5,,< 5,,19.24048,scrapate
17814,33,Acc gr D,Gran,1,,< 5,,9.62024,scrapate
17814,34,Acc gr F,Gran,2,,< 5,,19.24048,scrapate
17814,35,Liver gr 3,EP,8,,< 5,,153.92384,scrapate
17814,36,R Cran HLN,LN,8,,< 5,,240,scrapate
17814,37,Diaphragm gr 1,EP,5,,< 5,,24.0506,scrapate
17513,1,R cran HLN gr,LN,10^-2; 35,0.36,2,194444.4444,193356.6833,scrapate
17513,2,R carin LN gran,LN,10^-1; 67,0.28,3,71785.71429,36680.44693,scrapate
17513,3,RML,Lung,1,0.97,5,25.77319588,,scrapate
17513,4,RUL 1 coalesc,Lung,10^-2; 20,0.25,2.5,200000,31796.9,scrapate
17513,5,RUL,Lung,3,2.33,10,64.3776824,0,scrapate
17513,6,RLL,Lung,7,4.8,10,72.91666667,0,scrapate
17513,7,RLL gran 1,Gran,10^-1; 102,0.01,2,2040000,181789.5204,scrapate
17513,8,RLL gran 2,Gran,10^-1; 46,0.02,2,460000,10853.5367,scrapate
17513,9,RLL gran 3,Gran,135,0.02,2,67500,5071.821075,scrapate
17513,10,RLL gran 4,Gran,10^-1; 85,0.05,2,340000,63557.322,scrapate
17513,11,RLL gran 6,Gran,19,0.02,2,9500,448.298255,scrapate
17513,12,RLL gran 7,Gran,10^-1; 38,0.01,2,760000,57104.9484,scrapate
17513,13,RLL gran 8,Gran,10^-1; 57,0.03,2,380000,49793.566,scrapate
17513,14,RLL gran 8A,Gran,10^-1; 35,0.01,2,700000,33032.503,scrapate
17513,15,RLL gran 9,Gran,10^-1; 14,0.02,2,140000,10519.3326,scrapate
17513,16,RLL gran 10,Gran,10^-1; 69,0.01,2,1380000,103690.5642,scrapate
17513,17,RLL gran 11 coalesc,Gran,10^-1; 43,0.09,2,95555.55556,20533.188,scrapate
17513,18,RLL gran 14,Gran,10^-1; 30,0.01,2,600000,45082.854,scrapate
17513,19,RLL gran 15,Gran,267,0.02,2,133500,8165.352615,scrapate
17513,20,RLL gran 16,Gran,282,0.02,2,141000,4312.040145,scrapate
17513,21,RLL gran 17,Gran,60,0.04,2,15000,1546.3035,scrapate
17513,22,RLL gran 18,Gran,113,0.02,2,56500,5824.40985,scrapate
17513,23,RLL gran B (labeled on plate LLL gr B),Gran,9,0.01,2,9000,149.46696,scrapate
17513,24,RLL gran C,Gran,151,0.02,2.5,94375,2226.744622,scrapate
17513,25,RLL gran E,Gran,,0.01,2,380000,14276.2371,scrapate
15614,1,RMS Br LN gran,LN,10^-2; 59,0.14,2,842857.1429,486434.35,scrapate
15614,2,central carin LN gran,LN,10^-2; 13,1.16,5,56034.48276,132241.3793,scrapate
15614,3,RLL LN gran A,LN,10^-1; 35,0.11,2,63636.36364,5085.986818,scrapate
15614,4,RLL LN gran B,LN,10^-2; 22,0.05,2,880000,79288.22,scrapate
15614,5,RLL LN gran C,LN,10^-1; 71,0.04,2,355000,24759.5105,scrapate
15614,6,RLL LN gran D,LN,10^-1; 19,0.03,2,126666.6667,9478.954333,scrapate
15614,7,RLL LN remainder,LN,10^-1; 163,0.24,2,135833.3333,32975.40938,scrapate
15614,8,RLL,Lung,10^-1; 176,4.01,12.5,54862.84289,478952.6185,scrapate
15614,9,RLL gran 1,Gran,10^-2; 40,0.04,2,2000000,262071.4,scrapate
15614,10,RLL gran 2,Gran,10^-2; 27,0.03,2,1800000,185556.42,scrapate
15614,11,RLL gran 3,Gran,10^-1; 108,0.04,2,540000,63213.102,scrapate
15614,12,RLL gran 4,Gran,254,0.03,2,84666.66667,7544.85918,scrapate
15614,13,RLL gran 5,Gran,10^-1; 28,0.02,2,280000,24951.5028,scrapate
15614,14,RLL gran 6,Gran,10^-1; 94,0.03,2,626666.6667,47086.5364,scrapate
15614,15,RLL gran 7,Gran,6,0.02,2,3000,183.49107,scrapate
15614,16,RLL gran 8,Gran,10^-1; 51,0.02,2,510000,52574.319,scrapate
15614,17,RLL gran 9,Gran,10^-2; 11,0.02,2,1100000,113395.59,scrapate
15614,18,RLL gran 10,Gran,10^-1; 44,0.03,2,293333.3333,30238.824,scrapate
15614,19,RLL gran 11,Gran,185,0.03,2,61666.66667,6357.0255,scrapate
15614,20,RLL gran 12A,Gran,105,0.01,2,105000,3211.093725,scrapate
15614,21,RLL gran 12B,Gran,45,0.02,2,22500,373.6674,scrapate
15614,22,RLL gran 13,Gran,163,0.02,2,81500,7262.669565,scrapate
15614,23,RLL gran 14,Gran,84,0.01,2,84000,3963.90036,scrapate
15614,24,RLL gran A,Gran,13,0.01,2,13000,613.46077,scrapate
15614,25,RLL gran B,Gran,74,0.01,2,74000,1746.00373,scrapate
